day,Hole ID,Depth (m),Neutron Count (MD),Theta
2016-06-10,MN-1,1.11,5322,0.24005600000000002
2016-06-10,MN-1,1.41,6398,0.291704
2016-06-10,MS-4,0.2,4072,0.180056
2016-06-10,MS-4,0.5,5219,0.235112
2016-06-10,MS-4,0.81,5590,0.25292
2016-06-10,MS-4,1.11,5253,0.23676
2016-06-10,standard counts,0.0,7510,
2016-06-25,500,0.09,1503,0.078316
2016-06-25,500,0.4,4191,0.271852
2016-06-25,500,0.7,4754,0.312388
2016-06-25,500,1.01,4641,0.304276
2016-06-25,500,1.31,4706,0.30893200000000004
2016-06-25,501,0.07,1392,0.070324
2016-06-25,501,0.37,4407,0.287404
2016-06-25,501,0.68,4768,0.313396
2016-06-25,501,0.98,4924,0.32462799999999997
2016-06-25,501,1.29,4932,0.325204
2016-06-25,501,1.59,4479,0.292588
2016-06-25,501,1.9,4273,0.277756
2016-06-25,501,2.2,4037,0.260764
2016-06-25,501,2.51,3997,0.257884
2016-06-25,501,2.81,4317,0.28092399999999995
2016-06-25,501,3.12,4293,0.279196
2016-06-25,501,3.42,4374,0.285028
2016-06-25,501,3.73,4556,0.298132
2016-06-25,501,4.03,5467,0.363724
2016-06-25,501,4.34,4827,0.317644
2016-06-25,501,4.64,5631,0.37553200000000003
2016-06-25,501,4.95,5982,0.400804
2016-06-25,501,5.25,5911,0.395692
2016-06-25,501,5.56,5663,0.377836
2016-06-25,501,5.86,5855,0.39166
2016-06-25,501,6.17,6234,0.41894799999999993
2016-06-25,501,6.47,5687,0.379564
2016-06-25,501,6.78,5642,0.376324
2016-06-25,501,7.08,5454,0.362788
2016-06-25,501,7.38,4291,0.279052
2016-06-25,501,7.69,4658,0.305476
2016-06-25,501,7.99,4252,0.276244
2016-06-25,501,8.3,4115,0.26638
2016-06-25,501,8.6,4092,0.26472399999999996
2016-06-25,501,8.91,4696,0.308212
2016-06-25,502,0.13,2555,0.10724000000000002
2016-06-25,502,0.44,5017,0.22541599999999998
2016-06-25,502,0.74,5324,0.240152
2016-06-25,502,1.05,6106,0.27772
2016-06-25,502,1.35,6008,0.272984
2016-06-25,503,0.2,3521,0.22361199999999998
2016-06-25,503,0.5,3821,0.24521199999999999
2016-06-25,503,0.81,3944,0.25406799999999996
2016-06-25,503,1.11,4165,0.26998000000000005
2016-06-25,503,1.42,4120,0.26674000000000003
2016-06-25,503,1.72,4068,0.262996
2016-06-25,503,2.03,4327,0.281644
2016-06-25,503,2.33,4051,0.261772
2016-06-25,503,2.64,4023,0.259756
2016-06-25,503,2.94,4407,0.287404
2016-06-25,503,3.25,3943,0.253996
2016-06-25,503,3.55,3984,0.256948
2016-06-25,503,3.86,3926,0.252772
2016-06-25,503,4.16,3891,0.250252
2016-06-25,503,4.47,4016,0.259252
2016-06-25,503,4.77,4206,0.272932
2016-06-25,503,5.08,4008,0.258676
2016-06-25,503,5.38,4067,0.262924
2016-06-25,503,5.69,4108,0.265876
2016-06-25,503,5.99,3917,0.25212399999999996
2016-06-25,503,6.3,4208,0.27307600000000004
2016-06-25,503,6.6,4186,0.271492
